id;title;description;activated;created_by;last_modified_by
1;Library Title 1;Library Desc 1;false;system;system
2;Library Title 2;Library Desc 2;false;system;system
3;Library Title 3;Library Desc 3;false;system;system
4;Library Title 4;Library Desc 4;false;system;system
5;Library Title 5;Library Desc 5;false;system;system
6;Library Title 6;Library Desc 6;false;system;system
7;Library Title 7;Library Desc 7;false;system;system
8;Library Title 8;Library Desc 8;false;system;system
9;Library Title 9;Library Desc 9;false;system;system
10;Library Title 10;Library Desc 10;false;system;system
