"id";"user_id";"category_id";"activated";"term_column";"created_by";"last_modified_by"
"1";"1";"1";"false";"col_a";"system";"system"
"2";"2";"2";"true";"col_b";"system";"system"
"3";"1";"3";"false";"col_c";"system";"system"
"4";"2";"4";"false";"col_d";"system";"system"
"5";"1";"5";"true";"col_e";"system";"system"
"6";"2";"1";"false";"col_f";"system";"system"
"7";"1";"2";"false";"col_g";"system";"system"
"8";"2";"3";"true";"col_h";"system";"system"
"9";"1";"4";"false";"col_i";"system";"system"
"10";"2";"5";"false";"col_j";"system";"system"
