"codebook_id";"description";"title";"order_no"
"10030";"01";"간";"1"
"10030";"02";"갑상선";"2"
"10030";"03";"골육종";"3"
"10030";"04";"구강";"4"
"10030";"05";"난소";"5"
"10030";"06";"뇌";"6"
"10030";"07";"담도";"7"
"10030";"08";"대장";"8"
"10030";"09";"신장";"9"
"10030";"10";"위";"10"
"10030";"11";"유방";"11"
"10030";"12";"자궁";"12"
"10030";"13";"전립선";"13"
"10030";"14";"췌장";"14"
"10030";"15";"폐";"15"
"10030";"16";"혈액";"16"
"10030";"99";"기타";"17"
"10040";"Y";"예";"1"
"10040";"N";"아니오";"2"
"10040";"Z";"무응답";"3"
"10050";"1";"막걸리";"1"
"10050";"2";"맥주";"2"
"10050";"3";"소주";"3"
"10050";"4";"양주";"4"
"10050";"8";"무응답";"5"
"10050";"9";"기타";"6"
"10060";"03";"가망없는퇴원";"3"
"10060";"04";"사망";"4"
"10060";"05";"악화";"5"
"10060";"08";"진단뿐";"8"
"10060";"09";"호전";"9"
"10060";"10";"호전안됨";"10"
"10060";"99";"기타";"11"
"10070";"01";"아버지";"1"
"10070";"02";"어머니";"2"
"10070";"03";"자녀";"3"
"10070";"04";"형제자매";"4"
"10070";"05";"친척";"5"
"10070";"98";"무응답";"6"
"10070";"99";"기타";"7"
"20010";"01";"제한없이 정상적이다";"1"
"20010";"02";"증상이 있으나 스스로 활동 가능하다";"2"
"20010";"03";"증상이 있으나 누워 지내는 시간은 하루의 반보다 적다";"3"
"20010";"04";"증상이 있으며 누워 지내는 시간이 하루의 절반이상이다";"4"
"20010";"05";"계속 누워 있어야 한다";"5"
"20030";"1";"Local complication";"1"
"20030";"2";"Systemic complication";"2"
"20040";"01";"Anastomotic leakage";"1"
"20040";"02";"Anastomotic stricture";"2"
"20040";"03";"Cardiovascular complications";"3"
"20040";"04";"Central nervous system complications";"4"
"20040";"05";"Chylous ascites";"5"
"20040";"06";"Delayed gastric emptying (= gastric stasis)";"6"
"20040";"07";"Duodenal stump leakage";"7"
"20040";"08";"Endocrine system complications";"8"
"20040";"09";"Hepatic system complications";"9"
"20040";"10";"Intestinal obstruction (=ileus)";"10"
"20040";"11";"Intra-abdominal bleeding";"11"
"20040";"12";"Intra-abdominal fluid collection";"12"
"20040";"13";"Intraluminal bleeding";"13"
"20040";"14";"Pancreatic leakage";"14"
"20040";"15";"Respiratory complications";"15"
"20040";"16";"Urinary system complications";"16"
"20040";"17";"Wound complication";"17"
"20040";"99";"기타";"18"
"20050";"1";"Primary  ";"1"
"20050";"3";"Remnant";"3"
"20050";"4";"Meta";"4"
"20050";"9";"기타  ";"5"
"20060";"01";"Bone";"1"
"20060";"05";"Liver";"5"
"20060";"06";"LN";"6"
"20060";"07";"Lung";"7"
"20060";"08";"Ovary";"8"
"20060";"09";"Peritoneum";"9"
"20060";"99";"기타";"10"
"20070";"1";"Single lesion";"1"
"20070";"2";"Multiple lesion - synchronous";"2"
"20070";"3";"Multiple lesion - metachronous";"3"
"20070";"9";"기타";"4"
"20080";"1";"영상검사";"1"
"20080";"2";"조직검사";"2"
"20080";"9";"기타";"3"
"20090";"1";"위암(C16)";"1"
"20090";"2";"상피내암(D002)";"2"
"20090";"8";"기타암";"3"
"20090";"9";"기타질환";"4"
"30030";"1";"M0";"1"
"30030";"2";"M1";"2"
"30030";"3";"MX";"3"
"30040";"1";"N(+)";"1"
"30040";"2";"N0";"2"
"30040";"3";"NX";"3"
"30050";"01";"T1a";"1"
"30050";"02";"T1b";"2"
"30050";"03";"T2";"3"
"30050";"04";"T3";"4"
"30050";"05";"T4a";"5"
"30050";"06";"T4b";"6"
"30050";"07";"TX";"7"
"30060";"1";"None";"1"
"30060";"2";"Bleeding";"2"
"30060";"3";"Perforation";"3"
"30060";"4";"Mallory-weiss tearing";"4"
"30060";"9";"기타";"5"
"30070";"01";"EGC-I";"1"
"30070";"02";"EGC-IIa";"2"
"30070";"03";"EGC-IIb";"3"
"30070";"04";"EGC-IIc";"4"
"30070";"05";"EGC-III";"5"
"30070";"06";"AGC-Bormann type 1";"6"
"30070";"07";"AGC-Bormann type 2";"7"
"30070";"08";"AGC-Bormann type 3";"8"
"30070";"09";"AGC-Bormann type 4";"9"
"30070";"10";"AGC-Bormann type 5";"10"
"30070";"11";"Combination";"11"
"30070";"99";"기타/Unclassifiable";"12"
"30080";"1";"Negative";"1"
"30080";"2";"Positive";"2"
"30080";"3";"Not evaluable";"3"
"30090";"1";"H.pylori IgG Ab";"1"
"30090";"2";"Histology(병리검사)";"2"
"30090";"3";"Rapid urease test(CLO test)";"3"
"30090";"4";"Urea Breath Test";"4"
"30090";"9";"기타";"5"
"30140";"1";"Score";"1"
"30140";"2";"%";"2"
"30160";"01";"Positive";"1"
"30160";"02";"Negative";"2"
"30160";"03";"Focal positive";"3"
"30160";"04";"Equivocal";"4"
"30160";"05";"Not evaluable";"5"
"30160";"99";"기타";"6"
"30170";"03";"EBV";"3"
"30170";"04";"EGFR";"4"
"30170";"06";"HER2";"6"
"30170";"07";"hMLH1";"7"
"30170";"08";"hMSH2";"8"
"30170";"10";"MSH6";"10"
"30170";"11";"p53";"11"
"30170";"12";"PD-L1";"12"
"30170";"13";"PMS2";"13"
"30170";"99";"기타";"16"
"30220";"1";"Positive";"1"
"30220";"2";"Negative";"2"
"30220";"3";"Equivocal";"3"
"30220";"4";"Not evaluable";"4"
"30230";"1";"EBV ISH";"1"
"30230";"2";"HER-2";"2"
"30230";"3";"Microsatellite instability(MSI)";"3"
"30230";"9";"기타";"4"
"30290";"03";"Endoscopic biopsy";"3"
"30290";"04";"Excision";"4"
"30290";"07";"Needle biopsy";"7"
"30290";"99";"기타";"15"
"30310";"04";"Liver";"4"
"30310";"07";"Stomach";"7"
"30310";"99";"기타";"8"
"30340";"01";"Lesser curvature";"1"
"30340";"02";"Greater curvature";"2"
"30340";"03";"Anterior wall";"3"
"30340";"04";"Posterior wall";"4"
"30340";"05";"Encircling";"5"
"30340";"99";"기타";"6"
"30640";"01";"Cardia";"1"
"30640";"02";"Fundus";"2"
"30640";"03";"Body";"3"
"30640";"04";"Angle";"4"
"30640";"05";"Antrum";"5"
"30640";"06";"Pylorus";"6"
"30640";"99";"기타";"7"
"30650";"01";"Esophagus";"1"
"30650";"02";"Upper (EGJ 포함)";"2"
"30650";"03";"Middle";"3"
"30650";"04";"Lower";"4"
"30650";"05";"Duodenum";"5"
"30650";"06";"Entire (Whole)";"6"
"30650";"99";"기타";"7"
"30370";"Y";"Positive";"1"
"30370";"N";"Negative";"2"
"30370";"Z";"Indeterminate";"3"
"30380";"Y";"Yes";"1"
"30380";"N";"No";"2"
"30380";"Z";"Unknown";"3"
"30410";"01";"Bone scan";"1"
"30410";"02";"CT";"2"
"30410";"06";"MRI";"6"
"30410";"08";"PET-CT";"8"
"30410";"09";"SONO";"9"
"30410";"10";"X-ray";"10"
"30410";"99";"기타";"11"
"30430";"2";"Stomach";"2"
"30430";"3";"LN";"3"
"30430";"9";"기타";"4"
"30440";"01";"EGC-I";"1"
"30440";"02";"EGC-IIa";"2"
"30440";"03";"EGC-IIb";"3"
"30440";"04";"EGC-IIc";"4"
"30440";"05";"EGC-III";"5"
"30440";"06";"AGC-Bormann type 1";"6"
"30440";"07";"AGC-Bormann type 2";"7"
"30440";"08";"AGC-Bormann type 3";"8"
"30440";"09";"AGC-Bormann type 4";"9"
"30440";"10";"AGC-Bormann type 5";"10"
"30440";"11";"Combination";"11"
"30440";"99";"기타/Unclassifiable";"12"
"30450";"01";"공단검진";"1"
"30450";"02";"내시경 시술 및 추적검사";"2"
"30450";"03";"수술후 추적검사";"3"
"30450";"04";"암예방검진센터 수검자";"4"
"30450";"05";"진단";"5"
"30450";"99";"기타";"6"
"30460";"01";"0";"1"
"30460";"02";"I";"2"
"30460";"03";"II";"3"
"30460";"04";"IIIa";"4"
"30460";"05";"IV";"5"
"30460";"06";"V";"6"
"30460";"07";"Not available";"7"
"30470";"1";"None";"1"
"30470";"2";"Bleeding";"2"
"30470";"3";"Perforation";"3"
"30470";"4";"Mallory-weiss tearing";"4"
"30470";"9";"기타";"5"
"30480";"1";"Type I";"1"
"30480";"2";"Type II";"2"
"30480";"3";"Type III";"3"
"30480";"4";"해당없음";"4"
"30530";"1";"Well differentiated";"1"
"30530";"2";"Moderately differentiated";"2"
"30530";"3";"Poorly differentiated";"3"
"30530";"4";"Combined";"4"
"30530";"9";"기타";"5"
"30540";"01";"Adenosquamous carcinoma";"1"
"30540";"02";"Carcinoma with lymphoid stroma";"2"
"30540";"04";"Gastrointestinal stromal tumor";"4"
"30540";"05";"Hepatoid adenocarcinoma";"5"
"30540";"13";"Mixed adenocarcinoma";"13"
"30540";"14";"Mucinous adenocarcinoma";"14"
"30540";"16";"Neuroendocrine tumor";"16"
"30540";"18";"Papillary adenocarcinoma";"18"
"30540";"20";"Poorly cohesive carcinoma(signet ring cell carcinoma 포함)";"20"
"30540";"22";"Squamous cell carcinoma";"22"
"30540";"23";"Tubular adenocarcinoma";"23"
"30540";"25";"Undifferentiated carcinoma";"25"
"30540";"99";"기타";"26"
"30550";"Y";"Present";"1"
"30550";"N";"Absent";"2"
"30550";"Z";"Not evaluable";"3"
"30580";"01";"Albumin";"1"
"30580";"08";"CA19-9";"8"
"30580";"09";"CA72-4";"9"
"30580";"11";"CEA";"11"
"30580";"16";"Ferritin";"16"
"30580";"19";"Hb";"19"
"30580";"22";"Iron";"22"
"30580";"27";"Protein";"27"
"30580";"29";"TIBC";"29"
"30580";"30";"Total Cholesterol";"30"
"30580";"31";"Vitamin B12";"31"
"30580";"99";"기타";"33"
"30600";"01";"Abdominal wall";"1"
"30600";"02";"Adrenal gland";"2"
"30600";"03";"Colon";"3"
"30600";"04";"Diaphragm";"4"
"30600";"05";"Gallbladder";"5"
"30600";"06";"Liver";"6"
"30600";"07";"Mesocolon";"7"
"30600";"08";"Pancreas";"8"
"30600";"09";"Retroperitoneum";"9"
"30600";"10";"Spleen";"10"
"30600";"99";"기타";"11"
"30610";"01";"Mucosa";"1"
"30610";"02";"Submucosa";"2"
"30610";"03";"Proper muscle";"3"
"30610";"04";"Subseroca";"4"
"30610";"05";"Serosa";"5"
"30610";"06";"Adjacent organ";"6"
"30610";"99";"기타";"7"
"30630";"Y";"Involved";"1"
"30630";"N";"Not involved";"2"
"30630";"Z";"No data";"3"
"40010";"01";"정상의 건강한 환자";"1"
"40010";"02";"경도의 전신 질환을 가진 환자";"2"
"40010";"03";"중등도의 중증 전신질환을 가진 환자";"3"
"40010";"04";"지속적으로 생명을 위협하는 중증의 전신질환을 가진 환자";"4"
"40010";"05";"수술하지 않으면 생명을 유지할 수 없는 정도의 중증질환을 가진 환자";"5"
"40010";"99";"장기 공여를 위한 수술 예정인 뇌사자";"6"
"40020";"1";"En bloc resection";"1"
"40020";"2";"Piecemeal resection";"2"
"40020";"3";"Failure";"3"
"40030";"1";"Elevated (I; IIa; IIa+IIc)";"1"
"40030";"2";"Flat (IIb)";"2"
"40030";"3";"Depressed  (IIc)";"3"
"40040";"1";"Lessor curvature";"1"
"40040";"2";"Greater curvature";"2"
"40040";"3";"Posterior wall";"3"
"40040";"4";"Anterior wall";"4"
"40050";"01";"Antrum";"1"
"40050";"02";"Angle";"2"
"40050";"03";"Lowerbody";"3"
"40050";"04";"Midbody";"4"
"40050";"05";"Upperbody or cardia";"5"
"40060";"1";"수술";"1"
"40060";"2";"내시경적치료 (clipping)";"2"
"40060";"3";"내시경치료 없이 보존치료 (산소투여 등)";"3"
"40090";"1";"Total";"1"
"40090";"2";"Partial";"2"
"40090";"3";"Not done";"3"
"40090";"4";"Not applicable";"4"
"40100";"1";"R0 resection";"1"
"40100";"2";"R1 resection";"2"
"40100";"3";"R2 resection";"3"
"40100";"4";"Not applicable";"4"
"40110";"01";"<D1";"1"
"40110";"02";"D1";"2"
"40110";"03";"D1+";"3"
"40110";"04";"D2";"4"
"40110";"05";"D2+";"5"
"40110";"06";"Sentinel basin dissection";"6"
"40110";"07";"None";"7"
"40110";"99";"기타";"8"
"40130";"1";"Curative";"1"
"40130";"2";"Palliative";"2"
"40130";"3";"Adjuvant";"3"
"40130";"4";"Neoadjuvant";"4"
"40130";"9";"기타";"5"
"40140";"01";"Abdomen wall";"1"
"40140";"02";"Bone";"2"
"40140";"03";"Boost";"3"
"40140";"04";"Brain";"4"
"40140";"06";"Distant lymph node";"6"
"40140";"07";"Liver";"7"
"40140";"09";"Lung";"9"
"40140";"10";"Stomach";"10"
"40140";"99";"기타";"11"
"40150";"01";"Grade 1";"1"
"40150";"02";"Grade 2";"2"
"40150";"03";"Grade 3";"3"
"40150";"04";"Grade 4";"4"
"40150";"05";"Grade 5";"5"
"40160";"1";"급성(3개월 이내)";"1"
"40160";"2";"만성(3개월 초과)";"2"
"40170";"01";"Aches";"1"
"40170";"02";"Fatigue";"2"
"40170";"03";"Heart damage";"3"
"40170";"05";"Skin irritation";"5"
"40170";"06";"Swelling of  breast";"6"
"40180";"01";"뇌 정위적 방사선수술";"1"
"40180";"02";"밀봉소선원치료";"2"
"40180";"03";"세기변조 방사선치료";"3"
"40180";"04";"양성자 치료";"4"
"40180";"05";"입체조형치료";"5"
"40180";"06";"전신조사";"6"
"40180";"07";"정위적 방사선 분할치료";"7"
"40180";"08";"체부 정위적 방사선수술";"8"
"40180";"09";"체외조사";"9"
"40200";"01";"CR";"1"
"40200";"02";"PD";"2"
"40200";"03";"PR";"3"
"40200";"04";"SD";"4"
"40200";"05";"NE";"5"
"40200";"99";"기타";"6"
"40240";"01";"MAC";"1"
"40240";"02";"경막외";"2"
"40240";"03";"국소";"3"
"40240";"04";"신경차단";"4"
"40240";"05";"전신";"5"
"40240";"06";"정맥";"6"
"40240";"07";"척추";"7"
"40240";"08";"척추+경막외";"8"
"40240";"99";"기타";"9"
"40250";"1";"Curative";"1"
"40250";"2";"Palliative";"2"
"40250";"9";"기타";"3"
"40260";"01";"개복";"1"
"40260";"02";"내시경 복강경 협력 수술";"2"
"40260";"03";"로봇 보조";"3"
"40260";"04";"로봇-다공";"4"
"40260";"05";"로봇-단일공";"5"
"40260";"06";"복강경보조";"6"
"40260";"07";"전복강경 (다공; multi-port)";"7"
"40260";"08";"전복강경 (단일공; single port)";"8"
"40260";"99";"기타";"9"
"40280";"01";"No";"1"
"40280";"02";"IP chemo";"2"
"40280";"03";"HIPEC";"3"
"40280";"04";"LHIPEC";"4"
"40280";"05";"PIPAC";"5"
"40280";"99";"기타";"6"
"40290";"01";"Rt upper transverse incision & multi-ports";"1"
"40290";"02";"Short upper midline & multi-ports";"2"
"40290";"03";"Single port/ single incision";"3"
"40290";"04";"Umbilical incision & multi-ports";"4"
"40290";"05";"Upper midline";"5"
"40290";"99";"기타";"6"
"40310";"06";"Distal gastrectomy";"6"
"40310";"15";"Open and closure with biopsy";"15"
"40310";"18";"Proximal gastrectomy";"18"
"40310";"19";"Pylorus preserving gastrectomy";"19"
"40310";"23";"Segmental resection";"23"
"40310";"27";"Total gastrectomy";"27"
"40310";"28";"Wedge resection";"28"
"40310";"99";"기타";"29"
"40380";"01";"세포독성약제";"1"
"40380";"02";"항암표적약제";"2"
"40380";"03";"항암내분비약제";"3"
"40380";"04";"항암면역약제";"4"
"40380";"05";"기타항암약제";"5"
"40380";"99";"기타";"6"
"40390";"1";"항암약제";"1"
"40390";"9";"기타약제";"2"
"40400";"06";"Capecitabine";"6"
"40400";"07";"Carboplatin";"7"
"40400";"09";"Cisplatin";"9"
"40400";"11";"Docetaxel";"11"
"40400";"12";"Doxorubicin";"12"
"40400";"13";"Epirubicin";"13"
"40400";"15";"Etoposide";"15"
"40400";"18";"Fluorouracil";"18"
"40400";"24";"Irinotecan hydrochloride";"24"
"40400";"27";"Leucovorin";"27"
"40400";"30";"Methotrexate";"30"
"40400";"31";"Mitomycin C";"31"
"40400";"32";"Nivolumab";"32"
"40400";"33";"Oxaliplatin";"33"
"40400";"34";"Paclitaxel";"34"
"40400";"36";"Pembrolizumab";"36"
"40400";"38";"Ramucirumab";"38"
"40400";"41";"Tegafur/gimeracil/oteracil(S-1)";"41"
"40400";"43";"Trastuzumab";"43"
"40400";"45";"Trifluridine-tipiracil";"45"
"40400";"99";"기타";"47"
"40420";"01";"AMP";"1"
"40420";"02";"cap";"2"
"40420";"03";"dos";"3"
"40420";"04";"ea";"4"
"40420";"05";"g";"5"
"40420";"06";"g/kg";"6"
"40420";"07";"g/m2";"7"
"40420";"08";"ke";"8"
"40420";"09";"kit";"9"
"40420";"10";"mcg";"10"
"40420";"11";"mcg/kg";"11"
"40420";"12";"mcg/m2";"12"
"40420";"13";"mg";"13"
"40420";"14";"mg/kg";"14"
"40420";"15";"mg/m2";"15"
"40420";"16";"ml";"16"
"40420";"17";"pfu";"17"
"40420";"18";"pkg";"18"
"40420";"19";"set";"19"
"40420";"20";"tab";"20"
"40420";"21";"unit";"21"
"40420";"99";"기타";"22"
"40440";"01";"경구";"1"
"40440";"03";"정맥내주사";"3"
"40440";"04";"척수강내주사";"4"
"40440";"99";"기타";"7"
"40460";"03";"Hand-sewing";"3"
"40460";"05";"Not applicable";"5"
"40460";"06";"Stapler";"6"
"40460";"99";"기타";"10"
"40480";"1";"Intracorporeal";"1"
"40480";"2";"Extracorporeal";"2"
"40480";"3";"Not applicable";"3"
"40480";"9";"기타";"4"
"40490";"01";"Billroth I";"1"
"40490";"02";"Billroth II";"2"
"40490";"03";"Double tract method";"3"
"40490";"04";"Esophagogastrostomy";"4"
"40490";"05";"Gastrogastrostomy";"5"
"40490";"06";"Primary repair";"6"
"40490";"07";"Roux-en-Y";"7"
"40490";"99";"기타";"8"
"40500";"01";"None";"1"
"40500";"02";"Colon";"2"
"40500";"03";"Gall Baldder";"3"
"40500";"04";"Liver";"4"
"40500";"05";"Pancreas";"5"
"40500";"06";"Spleen";"6"
"40500";"99";"기타";"7"
"40520";"01";"I";"1"
"40520";"02";"II";"2"
"40520";"03";"III";"3"
"40520";"04";"IV";"4"
"40520";"05";"V";"5"
"40530";"01";"Alopecia";"1"
"40530";"02";"Anorexia";"2"
"40530";"05";"Dry skin";"5"
"40530";"07";"Hand-foot syndrome";"7"
"40530";"10";"Nausea/vomiting";"10"
"40530";"99";"기타";"13"
"40550";"1";"Tumor progression";"1"
"40550";"2";"사망";"2"
"40550";"3";"추적관찰 소실";"3"
"40550";"4";"항암제 부작용";"4"
"40550";"9";"기타";"5"
"40560";"01";"Adjuvant";"1"
"40560";"02";"Concurrent";"2"
"40560";"03";"Consolidation";"3"
"40560";"04";"Induction";"4"
"40560";"05";"Maintenance";"5"
