id,title,description,activated,order_no,topic_id,created_by,created_date,last_modified_by,last_modified_date
9800,GSCN.GSCN_EXAM_IMAG,08.위암_검사_영상,true,8,999,system,,,
9900,GSCN.GSCN_EXAM_IMPT,09.위암_검사_면역병리,true,9,999,system,,,
10000,GSCN.GSCN_EXAM_MLPT,10.위암_검사_분자병리,true,10,999,system,,,
11000,GSCN.GSCN_EXAM_BYPS,11.위암_검사_생체,true,11,999,system,,,
12000,GSCN.GSCN_EXAM_HPLI,12.위암_검사_HPYLORI,true,12,999,system,,,
14000,GSCN.GSCN_EXAM_EUS,14.위암_검사_EUS,true,14,999,system,,,
16000,GSCN.GSCN_TRTM_SRPR,16.위암_치료_시술,true,16,999,system,,,
17000,GSCN.GSCN_EXAM_SGPT,17.위암_검사_외과병리,true,17,999,system,,,
18000,GSCN.GSCN_DIAG_AFOC,18.위암_진단_수술후합병증,true,18,999,system,,,
19000,GSCN.GSCN_TRTM_BLTR,19.위암_치료_수혈,true,19,999,system,,,
20000,GSCN.GSCN_TRTM_DRIN,20.위암_치료_약제성분,true,20,999,system,,,
21000,GSCN.GSCN_TRTM_ANTP,21.위암_치료_항암요법,true,21,999,system,,,
22000,GSCN.GSCN_TRTM_RD,22.위암_치료_방사선,true,22,999,system,,,
23000,GSCN.GSCN_FUOR_RLPS,23.위암_추적관찰_재발,true,23,999,system,,admin,2023-01-02 05:24:15.572507
13000,GSCN.GSCN_EXAM_GTSP,13.위암_검사_위내시경,true,13,999,system,,,
15000,GSCN.GSCN_TRTM_OPRT,15.위암_치료_수술,true,15,999,system,,,
9000,GSCN.CNCR_RGST,00.암등록,true,0,999,system,,,
9100,GSCN.GSCN_PT_HLINF,01.위암_환자_건강정보,true,1,999,system,,,
9200,GSCN.GSCN_PT_FMHT,02.위암_환자_가족력,true,2,999,system,,,
9300,GSCN.GSCN_DIAG_ANINF,03.위암_진단_신체계측정보,true,3,999,system,,,
9400,GSCN.GSCN_DIAG_INF,04.위암_진단_정보,true,4,999,system,,,
9500,GSCN.GSCN_DIAG_STAG,05.위암_진단_병기,true,5,999,system,,,
9600,GSCN.GSCN_DIAG_MTST,06.위암_진단_전이,true,6,999,system,,,
9700,GSCN.GSCN_EXAM_DIAG,07.위암_검사_진단,true,7,999,system,,,
