category_id,date_column,caption,autoincrement_field
9000,"",00.암등록,
10000,mlem_ymd,10.위암_검사_분자병리,mlem_seq
9600,mtdg_ymd,06.위암_진단_전이,mtdg_seq
9800,imex_ymd,08.위암_검사_영상,imex_seq
9700,cexm_ymd,07.위암_검사_진단,cexm_seq
9500,diag_stag_rcrd_ymd,05.위암_진단_병기,diag_stag_rcrd_seq
9200,fmht_rcrd_ymd,02.위암_환자_가족력,fmht_rcrd_seq
9400,diag_rgst_ymd,04.위암_진단_정보,diag_rgst_seq
9300,anth_rcrd_ymd,03.위암_진단_신체계측정보,anth_rcrd_seq
9900,imem_ymd,09.위암_검사_면역병리,imem_seq
9100,adm_ymd,01.위암_환자_건강정보,hlinf_seq
22000,rdt_prsc_ymd,22.위암_치료_방사선,rdt_prsc_seq
12000,hpli_exam_ymd,12.위암_검사_HPYLORI,hpli_exam_seq
15000,oprt_ymd,15.위암_치료_수술,oprt_seq
17000,srgc_ptem_ymd,17.위암_검사_외과병리,srgc_ptem_seq
23000,rldg_ymd,23.위암_추적관찰_재발,rldg_seq
14000,eus_exam_ymd,14.위암_검사_EUS,eus_exam_seq
13000,stmc_edex_ymd,13.위암_검사_위내시경,stmc_edex_seq
18000,comp_ocrn_oprt_ymd,18.위암_진단_수술후합병증,comp_ocrn_oprt_seq
16000,esd_srpr_ymd,16.위암_치료_시술,esd_srpr_seq
21000,antp_strt_ymd,21.위암_치료_항암요법,antp_seq
20000,drug_prsc_ymd,20.위암_치료_약제성분,drug_prsc_seq
11000,bpsy_read_ymd,11.위암_검사_생체,bpsy_seq
19000,bltr_prsc_ymd,19.위암_치료_수혈,bltr_prsc_seq
