id,title,description,created_by,created_date,last_modified_by,last_modified_date
90001,분자병리검사결과단위내용,,jwchoi,,,
10030,암종류코드,,system,,,
10040,여부무응답구분코드,,system,,,
10050,음주종류코드,,system,,,
10060,퇴원상태코드,,system,,,
10070,환자가족관계코드,,system,,,
20010,ECOG코드,,system,,,
20030,수술후합병증분류코드,,system,,,
20040,수술후합병증코드,,system,,,
20050,임상종양특성코드,,system,,,
20060,전이부위코드,,system,,,
20070,전이양상코드,,system,,,
20080,전이진단방법코드,,system,,,
20090,위암진단종류코드,,system,,,
30030,EUS_M병기코드,,system,,,
30040,EUS_N병기코드,,system,,,
30050,EUS_T병기코드,,system,,,
30060,EUS합병증코드,,system,,,
30070,GROSS유형코드,,system,,,
30080,HPYLORI검사결과코드,,system,,,
30090,HPYLORI검사방법코드,,system,,,
30140,면역병리검사결과단위코드,,system,,,
30160,면역병리검사소견코드,,system,,,
30170,면역병리검사종류코드,,system,,,
30220,분자병리검사소견코드,,system,,,
30230,분자병리검사종류코드,,system,,,
30290,생체검사방법종류코드,,system,,,
30310,생체검사부위코드,,system,,,
30340,수술둘레방향종양위치코드,,system,,,
30640,수술종방향종양위치A코드,,system,,,
30650,수술종방향종양위치B코드,,system,,,
30370,양성여부구분코드,,system,,,
30380,여부확인불가구분코드,,system,,,
30410,영상검사종류코드,,system,,,
30430,외과병리채취부위코드,,system,,,
30440,위내시경검사결과유형코드,,system,,,
30450,위내시경검사목적코드,,system,,,
30460,위내시경합병증등급코드,,system,,,
30470,위내시경합병증코드,,system,,,
30480,위식도경계부위암분류코드,,system,,,
30530,조직학적분화도코드,,system,,,
30540,조직학적진단코드,,system,,,
30550,존재여부구분코드,,system,,,
30580,진단검사종류코드,,system,,,
30600,침습장기코드,,system,,,
30610,침윤정도코드,,system,,,
30630,포함여부구분코드,,system,,,
40010,ASA점수코드,,system,,,
40020,ESD결과코드,,system,,,
40030,ESD병변모양코드,,system,,,
40040,ESD병변위치가로코드,,system,,,
40050,ESD병변위치세로코드,,system,,,
40060,ESD천공조치코드,,system,,,
40090,그물막절제범위코드,,system,,,
40100,근치도코드,,system,,,
40110,림프절절제정도코드,,system,,,
40130,방사선치료목적코드,,system,,,
40140,방사선치료부위코드,,system,,,
40150,방사선치료부작용등급코드,,system,,,
40160,방사선치료부작용시기구분코드,,system,,,
40170,방사선치료부작용종류코드,,system,,,
40180,방사선치료종류코드,,system,,,
40200,방사선치료평가항목코드,,system,,,
40240,수술마취부위코드,,system,,,
40250,수술목적코드,,system,,,
40260,수술방법코드,,system,,,
40280,수술시항암요법코드,,system,,,
40290,수술절개방법코드,,system,,,
40310,수술종류코드,,system,,,
40380,약제구분코드,,system,,,
40390,약제분류코드,,system,,,
40400,약제성분종류코드,,system,,,
40420,약제처방용량단위코드,,system,,,
40440,약제투여경로코드,,system,,,
40460,재건술방법코드,,system,,,
40480,재건술접근법코드,,system,,,
40490,재건술종류코드,,system,,,
40500,합병절제부위코드,,system,,,
40520,항암요법부작용등급코드,,system,,,
40530,항암요법부작용코드,,system,,,
40550,항암요법종료이유코드,,system,,,
40560,항암요법치료목적코드,,system,,,
40570,항암요법평가항목코드,,system,,,
40580,혈액제제종류코드,,system,,,
50010,재발부위코드,,system,,,
50020,재발종류코드,,system,,,
50040,재발진단방법코드,,system,,,
60010,성별코드,,system,,,
60020,모집단구분코드,,system,,,
60030,외국인코드,,system,,,
60040,환자구분코드,,system,,,
60050,직업분류코드,,system,,,
60060,진단경로코드,,system,,,
60070,편측성코드,,system,,,
60080,분화도코드,,system,,,
60090,진단방법코드,,system,,,
60100,치료시행여부코드,,system,,,
60110,SEER코드,,system,,,
