id,title,description,activated,order_no,category_id,codebook_id,created_by,created_date,last_modified_by,last_modified_date
9717,cexm_nlrg_ref_vl,,true,9717,9700,,system,,,
9804,imex_seq,,true,9804,9800,,system,,,
9807,imex_cd,,true,9807,9800,,system,,,
9808,imex_nm,,true,9808,9800,,system,,,
9809,imex_edi_cd,,true,9809,9800,,system,,,
9810,imex_edi_nm,,true,9810,9800,,system,,,
9811,imex_smct_cd,,true,9811,9800,,system,,,
9812,imex_smct_nm,,true,9812,9800,,system,,,
9813,imex_rslt_cont,,true,9813,9800,,system,,,
9902,pt_no,,true,9902,9900,,system,,,
9904,imem_seq,,true,9904,9900,,system,,,
9905,impt_read_ymd,,true,9905,9900,,system,,,
9906,imem_cd,,true,9906,9900,,system,,,
9907,imem_nm,,true,9907,9900,,system,,,
9908,imem_kncd,,true,9908,9900,30170,system,,,
9910,imem_opn_cd,,true,9910,9900,30160,system,,,
9912,imem_rslt_cont,,true,9912,9900,,system,,,
9913,imem_rslt_unit_cd,,true,9913,9900,30140,system,,,
10002,pt_no,,true,10002,10000,,system,,,
10003,mlem_ymd,,true,10003,10000,,system,,,
10004,mlem_seq,,true,10004,10000,,system,,,
10005,mlpt_read_ymd,,true,10005,10000,,system,,,
10006,mlem_cd,,true,10006,10000,,system,,,
10007,mlem_nm,,true,10007,10000,,system,,,
10008,mlem_kncd,,true,10008,10000,30230,system,,,
10010,mlem_opn_cd,,true,10010,10000,30220,system,,,
10012,mlem_rslt_cont,,true,10012,10000,,system,,,
11002,pt_no,,true,11002,11000,,system,,,
11003,bpsy_ymd,,true,11003,11000,,system,,,
11004,bpsy_seq,,true,11004,11000,,system,,,
11005,bpsy_read_ymd,,true,11005,11000,,system,,,
11006,bpsy_site_cd,,true,11006,11000,30310,system,,,
11008,bpsy_mtcd,,true,11008,11000,,system,,,
11009,bpsy_mtnm,,true,11009,11000,,system,,,
11010,bpsy_mthd_kncd,,true,11010,11000,30290,system,,,
11012,bpsy_rslt_cont,,true,11012,11000,,system,,,
11013,htlg_diag_cd,,true,11013,11000,30540,system,,,
11015,htlg_dfgd_cd,,true,11015,11000,30530,system,,,
12002,pt_no,,true,12002,12000,,system,,,
12003,hpli_exam_ymd,,true,12003,12000,,system,,,
12004,hpli_exam_seq,,true,12004,12000,,system,,,
12005,hpli_exam_mtcd,,true,12005,12000,30090,system,,,
12007,hpli_exam_rslt_cd,,true,12007,12000,30080,system,,,
13002,pt_no,,true,13002,13000,,system,,,
13003,stmc_edex_ymd,,true,13003,13000,,system,,,
13004,stmc_edex_seq,,true,13004,13000,,system,,,
13007,gtsp_tspc_cnt,,true,13007,13000,,system,,,
13008,stmc_edex_opn_cont,,true,13008,13000,,system,,,
13009,stmc_edex_rslt_cont,,true,13009,13000,,system,,,
13010,stmc_edex_rslt_tpcd,,true,13010,13000,30440,system,,,
13012,gtsp_comp_grcd,,true,13012,13000,30460,system,,,
13014,gtsp_comp_cd,,true,13014,13000,30470,system,,,
14002,pt_no,,true,14002,14000,,system,,,
14003,eus_exam_ymd,,true,14003,14000,,system,,,
14004,eus_exam_seq,,true,14004,14000,,system,,,
14005,eus_t_stag_cd,,true,14005,14000,30050,system,,,
14007,eus_n_stag_cd,,true,14007,14000,30040,system,,,
14009,eus_m_stag_cd,,true,14009,14000,30030,system,,,
14011,eus_exam_opn_cont,,true,14011,14000,,system,,,
14012,eus_exam_rslt_cont,,true,14012,14000,,system,,,
14013,eus_comp_cd,,true,14013,14000,30060,system,,,
15002,pt_no,,true,15002,15000,,system,,,
15003,oprt_ymd,,true,15003,15000,,system,,,
15004,oprt_seq,,true,15004,15000,,system,,,
15005,oprt_kncd,,true,15005,15000,40310,system,,,
15007,oprt_cd,,true,15007,15000,,system,,,
15008,oprt_nm,,true,15008,15000,,system,,,
