item_id,caption,required,data_type,format,max_length,allow_editing
9026,26. 조직학적진단명코드설명,false,,,,true
9027,27. 조직학적진단명코드기타설명,false,,,,true
9302,2. 환자대체번호,false,,,,true
9305,5. 신장측정값,false,,,,true
9306,6. 체중측정값,false,,,,true
9307,7. BMI값,false,,,,true
9308,8. 이완혈압값,false,,,,true
9309,9. 수축혈압값,false,,,,true
9402,2. 환자대체번호,false,,,,true
9408,8. 진단명,false,,,,true
9410,10. 진단KCD명,false,textarea,,,true
9412,12. 진단SNOMEDCT명,false,,,,true
20017,17. 약제EDI코드,false,,,,true
22015,15. 방사선치료부위,false,selectbox,,,true
9038,"38.치료 (수술, 화학, 방사선, 면역, 호르몬)",false,,,,true
9003,3. 초진연월일,false,,,,true
9015,15. 직업분류기타,false,,,,true
9030,30. 사망연월일,false,date,yyyyMMdd,,true
9031,31. 사망원인,false,,,,true
9032,32. 진단방법,false,selectbox,,,true
9012,행려환자,false,,,,true
9005,5. 나이,false,,,,true
9006,6. 성별,false,string,,,true
9008,8. 모집단구분명,false,,,,true
9009,9. 외국인,false,selectbox,,,true
9013,13. 직업분류,false,selectbox,,,true
9016,16. 직업상세설명,false,,,,true
9017,17. 진단경로,false,selectbox,,,true
9403,3. 진단등록일자,true,date,yyyyMMdd,,true
9004,4. 생년월,false,,,,true
9019,19. 진단경로5세부설명,false,,,,true
9020,20. 원발부위코드,false,,,,true
9021,21. 원발부위코드설명,false,,,,true
9022,22. 원발부위코드기타설명,false,,,,true
9023,23. 편측성코드,false,selectbox,,,true
17038,40. 수술원위절제면잔존암여부구분,false,selectbox,,,true
9025,25. 조직학적진단명코드,false,,,,true
9034,34. 진단방법임상검사2세부사항,false,,,,true
9035,35. 진단방법임상검사2기타사항,false,,,,true
9036,36. 치료시행여부,false,selectbox,,,true
9039,39. 기타치료,false,,,,true
9040,40. 출생연대표기,false,,,,true
9041,41. 입원일,false,date,yyyyMMdd,,true
9043,43. 자료등록년도,false,,,,true
9045,45. SEERYEAR,false,,,,true
9046,46. SEER,false,selectbox,,,true
9048,48. STAGE코드,false,,,,true
9049,49. STAGEYEAR,false,,,,true
9050,50. 병기STAGE,false,,,,true
9052,52. 원격전이코드2,false,,,,true
9002,2. 환자등록번호,false,,,,true
9007,7. 모집단구분코드,false,,,,true
9053,53. 원격전이코드3,false,,,,true
9102,2. 환자대체번호,false,,,,true
9105,5. 퇴원일자,false,date,yyyyMMdd,,true
9106,6. 현재음주여부구분,false,selectbox,,,true
